d9eb7905-6066-41ac-826b-ddb7ca9641c0,1,319,62
2cfc0643-4246-4086-8166-ea21d6f8cc1f,1,461,74
912ac5b9-bafa-4443-a6e6-74fe61473d54,1,384,76
eab0cd57-628f-431c-a33c-416a52d60c0f,1,316,79
438223cf-6fbb-4226-8a23-53abce1cb9df,1,518,79
d12e6e32-8536-404b-a7b5-5a75f7d95180,1,701,81
efb8b5df-a960-4442-a987-1720f1443a58,1,653,87
ccc1a226-3773-450c-995d-61e5ac83e980,1,587,88
af13e0ff-f197-4579-83c4-2704492aa8a6,1,584,88
f6e45049-0da8-4c98-b2a6-959c0488f38c,1,629,89
42a73c70-a5ed-4b6b-a015-28ec2b1b83c5,1,741,93
24b56635-cb1f-4fe2-9e1a-6093e88f46b4,1,834,95
da252b4d-7ae9-4eae-9e2a-7bc85e64fa5b,1,558,95
3677cb8e-502b-4c27-9d91-1b3207733a30,1,1049,104
725b5b83-dc01-49e3-a74f-d3462fd416cb,1,970,123
0f64c371-c00e-48f6-8ba9-ba909fe65d66,1,771,132
d9eb7905-6066-41ac-826b-ddb7ca9641c0,2,471,73
8bcde840-d330-4083-9a47-80678d05d33f,1,612,140
f6e45049-0da8-4c98-b2a6-959c0488f38c,2,451,76
ccc1a226-3773-450c-995d-61e5ac83e980,2,418,77
912ac5b9-bafa-4443-a6e6-74fe61473d54,2,601,94
134647c7-f93b-4fbb-8fc1-79f1cec4031c,1,1254,172
42a73c70-a5ed-4b6b-a015-28ec2b1b83c5,2,420,83
ecdda20a-d32e-4b9a-b0d6-ad3608fa5e1c,1,1215,178
d12e6e32-8536-404b-a7b5-5a75f7d95180,2,698,98
438223cf-6fbb-4226-8a23-53abce1cb9df,2,809,103
eab0cd57-628f-431c-a33c-416a52d60c0f,2,440,104
2cfc0643-4246-4086-8166-ea21d6f8cc1f,2,650,121
725b5b83-dc01-49e3-a74f-d3462fd416cb,2,517,85
da252b4d-7ae9-4eae-9e2a-7bc85e64fa5b,2,749,120
d9eb7905-6066-41ac-826b-ddb7ca9641c0,3,575,85
0f64c371-c00e-48f6-8ba9-ba909fe65d66,2,619,91
efb8b5df-a960-4442-a987-1720f1443a58,2,1104,138
af13e0ff-f197-4579-83c4-2704492aa8a6,2,1162,141
3677cb8e-502b-4c27-9d91-1b3207733a30,2,937,136
24b56635-cb1f-4fe2-9e1a-6093e88f46b4,2,1055,146
134647c7-f93b-4fbb-8fc1-79f1cec4031c,2,264,72
f6e45049-0da8-4c98-b2a6-959c0488f38c,3,679,91
912ac5b9-bafa-4443-a6e6-74fe61473d54,3,652,88
438223cf-6fbb-4226-8a23-53abce1cb9df,3,473,82
da252b4d-7ae9-4eae-9e2a-7bc85e64fa5b,3,360,57
d12e6e32-8536-404b-a7b5-5a75f7d95180,3,677,94
